year,brate_unmarried,brate_married
1980,29.4,97
1981,29.5,96
1982,30,96.199997
1983,30.299999,93.599998
1984,31,93.099998
1985,32.799999,93.300003
1986,34.200001,90.699997
1987,36,90
1988,38.5,90.800003
1989,41.599998,91.900002
1990,43.799999,93.199997
1991,45.200001,89.900002
1992,45.200001,89
1993,45.299999,86.800003
1994,46.900002,83.800003
1995,45.099998,83.699997
1996,44.799999,83.699997
1997,44,84.300003
1998,44.299999,85.699997
1999,44.400002,86.5
2000,44.099998,87.400002
2001,43.700001,86.599998
2002,43.599998,86.900002
2003,44.700001,88.400002
2004,46,88.099998
2005,47.200001,87.900002
2006,50.299999,88.699997
2007,51.799999,89.099998
2008,51.799999,86.900002
2009,49.900002,85.599998
2010,47.5,84.300003
2011,46,85.099998
2012,45.299999,86
2013,44.299999,86.900002
2014,43.900002,88.900002
2015,43.400002,89
2016,42.400002,89.599998
2017,41,87.400002
2018,40.099998,85.599998
2019,39.900002,84
2020,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
