stname,fd_brate1544_thsnds,pop1544,fd_larcall,fd_epop_all,fd_avg_grossrent,fd_avg_childcare_exp_cex,fd_child_asec,fd_stud_debt_cap,fd_very_somewhat_important,fd_p50wage_all_ratio,fd_p75wage_all_ratio
AK,-4.191246,729322,10.949405,.73070526,.10097015,3.4697909,1.5451217,1.2389188,3.0413666,5.105751,7.4615097
AL,-3.5188065,4757505,.32323694,-2.0946579,.067207038,1.5868192,1.2814126,2.8872764,-2.5621567,.59059906,-.35153198
AR,-5.549118,2885824,,.89417267,.03805691,,2.0540817,2.5284781,-4.684288,5.5495911,4.9824829
AZ,-20.54496,6794237,1.2674646,.23952484,.056159139,1.8473711,.84680223,2.6239986,-1.3832855,1.2609711,1.325386
CA,-12.759033,40309975,3.4421806,1.9297104,.21794736,1.0681214,2.4436464,2.2657118,-3.282547,4.2986832,3.4191055
CO,-13.159611,5706366,,1.4272614,.28509581,3.5968671,2.5570126,3.1105711,1.2749863,3.9792404,3.8913727
CT,-6.4414482,3359975,4.5314522,.58233643,.054354429,-.1455946,1.2509413,3.1158469,-5.7012939,4.3760147,2.4806213
DC,-6.8018112,931133,5.0212669,2.6133118,.37356925,-7.3404531,3.3721933,5.9303622,-6.94944,-6.1966019,5.1022797
DE,-5.8092728,896186,8.4730988,.32106781,.062169433,-2.5535693,.89007902,3.4103711,-7.0683899,9.7818527,9.8880615
FL,-6.7378273,19099789,5.7205839,-.48023224,.092592239,.67951632,1.4931445,2.8142254,-4.0403595,6.1955185,4.005455
GA,-11.915676,10725351,.62690592,-.029182434,.090418458,-.35271025,1.7237601,4.3678422,-4.6509094,2.7187729,2.5523911
HI,-6.1919785,1326586,,-.095787048,.2127465,.82260489,3.5686417,1.9474066,-4.3269272,5.0451508,4.5917587
IA,-2.9787369,2955728,9.8739681,1.7142715,.068871439,,2.4853468,2.2795188,-4.4734955,2.276268,2.620636
ID,-13.770042,1653345,6.4136686,.12194061,.067952335,,2.425348,2.5505867,-7.3344193,1.7780228,-.86170959
IL,-8.3549538,12660306,,2.157814,.095518053,1.5097528,1.9430375,3.0357947,-6.8612442,6.1952515,4.5009079
IN,-4.4889832,6492567,4.1514988,.81542206,.043763518,7.6737051,1.3287992,2.8972716,-8.7756424,3.1760025,1.7646332
KS,-7.1083221,2802857,6.1972356,-.31581879,.079217792,-1.5982084,1.2699676,2.6944129,-7.4527817,1.9796753,.34459686
KY,-2.1578064,4244788,,1.7653885,.07773751,-3.4619355,3.1570516,2.8998823,-4.0024338,4.56427,1.6480789
LA,-2.0352249,4656968,1.7104552,-.76607513,.082377255,-.15594912,1.9263864,2.7532036,1.4573517,.13414764,-.4692688
MA,-5.8960648,6920771,8.9365959,1.7898026,.15954435,3.5177884,4.4790463,2.7430913,-12.170654,6.1529617,4.5516052
MD,-2.9105377,5936420,,.96178436,.16321337,3.1640339,3.3008981,3.5972526,-7.3748474,3.5858917,4.7891846
ME,-1.3460312,1158777,9.572669,.21945953,.047184587,,1.5251036,2.885318,-10.758934,8.1503525,6.6544647
MI,-2.8784065,9399293,,3.3061218,.02486062,3.0537596,.88710976,3.2360413,-6.3361969,4.9754868,5.6481934
MN,-3.6321526,5325214,8.4742479,2.4860687,.11378747,-1.639173,1.6342325,3.1564889,-8.6467972,3.6383743,4.9881134
MO,-4.4107018,5862169,2.8353162,1.3675308,.063490748,3.8233876,1.8702402,2.7953718,-3.6686172,2.6329346,3.5551987
MS,-9.1510239,2958149,2.6700068,-1.9846954,.032494187,,1.1535378,3.5722983,-7.4986725,1.2588501,.78993225
MT,-4.9224472,954414,,2.2614822,.096719146,,2.3236127,1.8445332,-13.069473,1.2747803,-2.6906128
NC,-7.9676743,10109525,8.2241497,.69894409,.093477905,5.3443675,1.6869445,3.1980433,-5.3255844,3.7247925,.40769958
